comunidad,usuarios,temas,top_temas,top_candidatos
0,403,1226,"José Antonio Kast, Kast, Jara","José Antonio Kast, Evelyn Matthei, Jeannette Jara, Johannes Kaiser"
7,324,627,"mentira, contra, fake news","José Antonio Kast, Evelyn Matthei, Johannes Kaiser, Jeannette Jara"
15,223,422,"Milei, Ustedes, También","José Antonio Kast, Evelyn Matthei, Johannes Kaiser, Jeannette Jara"
3,186,524,"Johannes Kaiser, Kaiser, #kaiseralamoneda","Johannes Kaiser, José Antonio Kast, Evelyn Matthei, Jeannette Jara"
1,132,462,"#kastpresidente2026, #kastpresidente, @joseantoniokast","José Antonio Kast, Jeannette Jara, Evelyn Matthei, Johannes Kaiser"
14,119,190,"USTEDES, QUIENES, VOTAR","Evelyn Matthei, José Antonio Kast, Jeannette Jara, Johannes Kaiser"
9,109,444,"Jeannette Jara, #jarapresidenta2026, #jaraeschile","Evelyn Matthei, Jeannette Jara, José Antonio Kast, Johannes Kaiser"
12,97,503,"UN, #kaiserpresidentedechile, PORQUE","Johannes Kaiser, José Antonio Kast, Jeannette Jara, Evelyn Matthei"
8,91,115,"#granhermano, Solo, ESTABA","Jeannette Jara, Johannes Kaiser, Marco Enríquez-Ominami, José Antonio Kast"
19,69,150,"Maduro, qué, Vamos","Jeannette Jara, José Antonio Kast, Evelyn Matthei"
18,58,113,"Además, ATENCIÓN, ESTÁ","José Antonio Kast, Evelyn Matthei, Jeannette Jara, Johannes Kaiser"
6,51,331,"#cadem, Cadem, J. Kast","José Antonio Kast, Jeannette Jara, Evelyn Matthei, Johannes Kaiser"
13,36,237,"#chile, #urgente, #ahora","José Antonio Kast, Evelyn Matthei, Jeannette Jara, Johannes Kaiser"
22,36,41,"Nos, LLA, Hitler",
11,34,112,"jamás, #mileiestafador, #mileiesunaestafa","Evelyn Matthei, José Antonio Kast, Jeannette Jara, Johannes Kaiser"
4,33,162,"#sinfiltros_tv, #sinfiltros, #sinfiltrostv","José Antonio Kast, Johannes Kaiser, Evelyn Matthei, Jeannette Jara"
31,28,5,"Arévalo, dEmOcRatZia, Samantha Power",Marco Enríquez-Ominami
5,23,158,"IZQUIERDA, CAMPAÑA, ASI","José Antonio Kast, Evelyn Matthei, Jeannette Jara, Johannes Kaiser"
10,23,77,"Gabriel Boric, Sebastián Piñera, #contigochv","José Antonio Kast, Evelyn Matthei, Johannes Kaiser, Jeannette Jara"
16,21,137,"DDHH, PRESIDENTA, REPUBLICANOS","José Antonio Kast, Evelyn Matthei, Johannes Kaiser, Jeannette Jara"
27,19,17,"Massive Caller, GutierrezPriego49, @SCJN",
23,16,137,"PUEBLO, #noalcomunismo, DESDE","José Antonio Kast, Evelyn Matthei, Johannes Kaiser, Franco Parisi"
21,13,68,"Jadue, Islámicos Hamas, RT RT","Jeannette Jara, Johannes Kaiser, José Antonio Kast, Evelyn Matthei"
17,10,31,"daño, Partido de la Gente, #francoparisi2026","José Antonio Kast, Evelyn Matthei, Franco Parisi, Johannes Kaiser"
29,9,7,"Has, calcomania de Milei, veia potencial",
26,8,51,"PODER, #bolivia, Cobardía",
32,8,3,"General Roosvelt, ¿ qué interés, Cossette",
20,4,0,,"José Antonio Kast, Evelyn Matthei"
28,3,6,"Estás, BCRA, Estimadísimo",
2,3,5,"LEIRE, FONTANERA, Lean",
24,3,5,"Merino, Santivañez, AP",
30,1,5,"Rafael Cumsille, Asqueroso, Cumsille",Evelyn Matthei
25,1,2,"Despechada, mayans",
33,1,2,"@santiuribedel10 Miserable, Miserable",
