comunidad,usuarios,n_tweets,top_tfidf,top_hashtags,top_bigrams_pmi
0,403,2020,"kast, matthei, chile, jara, josé, antonio, antonio kast, josé antonio, kaiser, derecha","#mesacentral, #kastpresidente2026, #cadem, #kastpresidente, #echobox, #cooperativa90, #enacional, #kast2026, #elecciones, #sinfiltros","the clinic, karol cariola, secreto bancario, joaquin lavin, arturo squella, eduardo artes, san martin, cosa nostra, derechos humanos, tomas mosciatti"
7,324,559,"más, kast, mentira, chile, matthei, está, bots, fake, qué, campaña","#fakenews, #nestormiente, #kastpresidente, #rtmasivo, #jeannettejarapresidenta, #cadem, #kast2026, #bots, #kast, #factcheckelectoral","jose antonio, consulta popular, jeannette jara, redes sociales, opinion publica, johannes kaiser, fake news, campana sucia, extrema derecha, evelyn matthei"
15,223,337,"milei, kukas, más, presidente, está, chile, sos, cristina, gente, massa","#noestánlosvotos, #noestanlosvotos, #mileiestafador, #elmejorpresidentedelahistoria, #zi, #perú, #magentacapital, #mileiesunaestafa, #alertachile, #argentina","campana sucia, encore chile"
3,186,564,"kaiser, chile, johannes, johannes kaiser, kast, presidente, kaiserpresidente2026, más, matthei, kaiserpresidente","#kaiseralamoneda, #kaiser2026, #káiser2026, #johanneskaiser, #kaiserpresidente2026, #kaiserpresidente, #kaiserleyyorden, #cadem, #kaiser2025, #proclamacionkaiserpresidente","jose antonio, reforma pensiones, nacional libertario, jeannette jara, partido nacional, johanneskaiser kaiserleyyorden, evelyn matthei, candidato presidencial, antonio kast, johannes kaiser"
1,132,510,"chile, kast, kastpresidente2026, kastpresidente, antonio, antonio kast, josé antonio, josé, chilenos, presidente","#kastpresidente2026, #kastpresidente, #kastpresidentedechile, #kast2026, #kastteníarazón, #lafuerzadelcambio, #cadem, #kast, #kastprimeravuelta, #kastpresidentedeloschilenos","crimen organizado, inmigracion ilegal, cambio radical, partido republicano, evelyn matthei, jeannette jara, jose antonio, antonio kast, chile necesita, presidente chile"
14,119,263,"chile, derecha, matthei, kast, jara, chilenos, vota, más, vota vota, izquierda","#chilepaisanticomunista, #santiagoagoniza, #creoenchile, #valentíaparagobernar, #zurdosdemierda, #yanoestuplatita, #conmiplatano, #mileiestafador, #mileiesunaestafa, #criptomonedas","jeannette jara, candidata presidencial, vota vota, evelyn matthei, kast kaiser"
9,109,312,"chile, matthei, kast, jara, jeannette, jeannette jara, jarapresidenta2026, jaraeschile, evelyn, evelyn matthei","#jarapresidenta2026, #jaraeschile, #jaranosune, #jaraenprimeravuelta, #jarapresidenta, #noalvotoextranjero, #jeannettejara, #jeannettejarapresidenta, #jaralallevaenfrutillar, #eldebatetvn","detalles aca, fake news, jose antonio, johannes kaiser, jaraeschile jaranosune, antonio kast, jeannette jara, evelyn matthei, chile necesita, matthei kaiser"
12,97,163,"kaiser, chile, johannes, comunista, johannes kaiser, kaiserpresidente2026, kaiserpresidente, kast, defiende, derecha","#kaiserpresidentedechile, #kaiserpresidente2026, #kaiseralamoneda, #kaiserpresidente, #todossomoskaiser, #todossomospnl, #biobioconkaiser, #uncomunistauncriminal, #eskaiser, #todosconkaiser",johannes kaiser
8,91,87,"santiago, luz, más, voto, votos, está, chile, sos, juego, boric","#granhermano, #granfuria, #lam, #votojara, #justicia, #mileiteniarazon, #milei, #paso, #granarmado, #noalfraude",cata granhermano
19,69,72,"fraude, luisa, más, electoral, elecciones, corrupto, petro, país, chile, maduro","#megafraude, #semanasanta, #ecuador, #transparenciaelectoral, #fraudeelectoral, #niunvotoalcartón, #danielnoboaazín, #nacionales, #adrésarauz, #revoluciónciudadana",
