Author_Handle,tweet_count
Kasterizador,217
_istlady_,197
RobertoMerken,155
Informa3Chile,147
EncuestasChil10,131
biobio,119
DRESTRUM__Pl,108
maggieveranista,83
CNNChile,71
hernan_sr,65
joseantoniokast,59
agarra_pala,58
TERE_LAprofe73,56
solo_gemma,50
DatosAme24,48
latercera,48
cristian_arayal,46
adnradiochile,41
hugoguionista,37
SebastianRochaZ,37
derechista_,34
T13,33
delosquesobran,31
sergiou01329861,30
WenaChile,30
TarquinoPaspala,30
El_Ciudadano,29
ChilePortadas,28
BotCheckerCL,28
MateconMote,28
Enrique53904974,27
candrews_cl,26
MatiasBellolio,26
aprachile,25
andres20ad,24
Roja53C,24
CataVelascoK,24
Sinfiltros_tv,24
Aedd38,23
Info_War_Chile,23
partidodelorden,23
mmlagoscc,22
Romanita_Honey,22
thecliniccl,22
SilvanaNHR,21
ProfeMuyChilena,21
grok,21
AlejandroVNorte,20
cherrAL62,20
Javiera08494622,20
baradit,20
24HorasTVN,20
Caplevi1540,19
espartiata369,19
carlos81956718,19
Jou_Kaiser,18
GusandesGus,18
MaxLobosCL,17
JuanKBarth1,17
exantecl,15
luisingermanico,15
gerardopblaya,15
JackedIn,15
Nachoetherno,15
Lettus_Maglio,14
Cooperativa,14
Soy_Tu_Aji,14
XFarmer1977,14
medixi,14
MarcoMira20,14
MatiAromi,13
rodolfo_garciac,13
GAMBA_CL,13
CarlaTornasol,12
estamosconboric,12
Incorru47125032,12
FridaSiKahlo,12
eldesconcierto,12
rhon2008,12
Gideon_Jeura,12
meganoticiascl,12
zurditabella261,12
RONUSAN,12
elmostrador,12
ipoduje,12
evelynmatthei,11
Pillerin_,11
manuelsoteldo4,11
Chileno17039890,11
crovanos,11
PotusAmarillo,11
AgriculturaFM,11
dipuBobadilla,11
stanleybostero,11
EquipoKast,11
paubajoperfil,11
BarchiesiDip,10
daniel_nunez_a,10
dmorales4m,10
Tor25899035,10
p4purrip0p,10
Cachoescalona1,10
marcoporchile,10
matias_tl,10
sebastian_gray,10
astorgapa,10
chvnoticias,9
kawally,9
pparcos1,9
Izq_Cristiana,9
R4Zi3L_K4in,9
matiasgarciard,9
Molotov1947,9
AmericaElige,9
Hanzinho,9
santiuribedel10,9
pnl_lascondes,9
