,degree,in_degree,out_degree,betweenness,harmonic_closeness,pagerank,eigenvector,k_core,clustering
1973_ramir44948,1,1,0,0.0,1.0,0.0013690157407307154,2.62540494931669e-07,1,0
24HorasTVN,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
24Horas_TVM,2,0,2,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,2,0
2paumynn,0,0,0,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,0,0
5opermi,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
6sergioad9,0,0,0,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,0,0
73_wally,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
83Patricio,1,1,0,0.0,1.0,0.0012890235063449007,2.62540494931669e-07,1,0
85Estebancer,1,1,0,0.0,1.0,0.00144900797511653,2.62540494931669e-07,1,0
AAutodidacta,1,1,0,0.0,1.0,0.0011600037734645545,2.62540494931669e-07,1,0
AFitzcarraldo,1,1,0,0.0,1.0,0.00144900797511653,2.62540494931669e-07,1,0
ARetamalZ,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
AXELKAISER,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
A__Senna,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
AdrianUrrutia0k,1,1,0,0.0,1.0,0.0012490273891519934,2.62540494931669e-07,1,0
AdrianaValdes8,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
AlbertoMayol,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
AlejandroVNorte,1,1,0,0.0,1.0,0.0013690157407307154,2.62540494931669e-07,1,0
AlfreMondragon,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
AmanecerLiberta,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
AnaLauraRoman,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
AndreaAlvarezAA,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
AndreaChavezTre,2,0,2,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
